Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
250729-62,2025-07-29,41203001052,PALĪGSTRĀDNIEKS,Cita,900.000,900.000,Viena vesela slodze,Maiņu darbs,"",2025-08-08,"","Pentuļi, Vārves pag., Ventspils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421885912
250409-177,2025-04-10,43603040477,ATKRITUMU ŠĶIROTĀJS,Pakalpojumi,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-30,"","Ganību iela 84, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/411486799
250717-136,2025-07-17,90009112024,Nekustamā īpašuma PĀRVALDNIEKS,Valsts pārvalde,1094.000,1287.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Ezermalas iela 10B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421011224
250722-127,2025-07-22,90009112024,AUTOMOBIĻA VADĪTĀJS,Valsts pārvalde,740.000,861.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-12,"","Piedrujas iela 20, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421314572
250722-141,2025-07-22,90009112024,VECĀKAIS REFERENTS,Valsts pārvalde,1094.000,1287.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-12,"","Piedrujas iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421321948
250730-27,2025-07-30,90009112024,DARBĪBAS RISKU VADĪTĀJS,Valsts pārvalde,1148.000,1350.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-10,"","Čiekurkalna 1. līnija, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421997020
250730-102,2025-07-30,90009112024,DARBĪBAS RISKU VADĪTĀJS,Valsts pārvalde,1148.000,1350.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-10,"","Čiekurkalna 1. līnija, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/422035276
250730-103,2025-07-30,90009112024,DARBĪBAS RISKU VADĪTĀJS,Valsts pārvalde,1148.000,1350.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-10,"","Čiekurkalna 1. līnija, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/422035477
250724-109,2025-07-24,40003482021,SKOLAS DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Izglītība / Zinātne,1645.000,1645.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-15,"","Viestura iela 6, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/421563000
250702-100,2025-07-03,90000024205,PEDAGOGS,Izglītība / Zinātne,1410.000,1410.000,"","","",2025-08-04,"","Skolas iela 1, Kūkas, Kūku pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419430301
250630-46,2025-06-30,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1599.000,1730.000,Viena vesela slodze,"","",2025-07-31,"","Bāriņu iela 3, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/419074020
250630-55,2025-06-30,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-07-31,"","Akmeņu iela, Talsi, Talsu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419077589
250630-51,2025-06-30,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-07-31,"","Ostas iela 33, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/419076737
250630-54,2025-06-30,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,Viena vesela slodze,Summētais darba laiks,"",2025-07-31,"","Ostas iela, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/419077333
250630-49,2025-06-30,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-07-31,"","Jelgavas iela 9, Saldus, Saldus nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419076257
250630-48,2025-06-30,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-07-31,"","Bāriņu iela 3, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/419076069
250630-44,2025-06-30,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1539.000,1669.000,Viena vesela slodze,"","",2025-07-31,"","Bāriņu iela 3, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/419073542
250513-72,2025-05-13,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-08-12,"","Muldavas iela 14, Dobele, Dobeles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414488864
250625-69,2025-06-25,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Vadība / Administrēšana,1591.000,1621.000,Viena vesela slodze,Normālais darba laiks,"",2025-09-01,"","Lidosta ""Rīga"", Mārupes pag., Mārupes nov.",https://cvvp.nva.gov.lv/#/pub/vakances/418604656
250704-137,2025-07-04,90000099040,TRANSPORTA MEHĀNIĶIS,Vadība / Administrēšana,1006.000,1155.000,"","","",2025-08-03,"","Vestienas iela 4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419856805
250704-134,2025-07-08,90000099040,PAMATDARBĪBAS STRUKTŪRVIENĪBAS VADĪTĀJA VIETNIEKS /DIREKTORA VIETNIEKS (FINANŠU UN APDROŠINĀŠANAS JOMĀ),Vadība / Administrēšana,1786.000,2068.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-03,"","Čiekurkalna 1. līnija 1 k-4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419855404
250704-145,2025-07-04,90000099040,UZSKAITES OPERATORS,Vadība / Administrēšana,1221.000,1401.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-03,"","Čiekurkalna 1. līnija 1, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419858326
250708-50,2025-07-08,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1628.000,1658.000,Viena vesela slodze,Normālais darba laiks,"",2025-09-15,"","Ezermalas iela 10B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420132960
250718-42,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1628.000,1658.000,Viena vesela slodze,Normālais darba laiks,"",2025-11-10,"","Mūkusalas iela 101, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421063508
250718-41,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1628.000,1658.000,Viena vesela slodze,Normālais darba laiks,"",2025-11-10,"","Allažu iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421063350
250718-54,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1691.000,1784.000,Viena vesela slodze,Normālais darba laiks,"",2025-11-10,"","Mūkusalas iela 101, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421065883
250718-49,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1591.000,1621.000,Viena vesela slodze,"","",2025-09-25,"","Dubultu prospekts 17, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/421065177
250718-43,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1628.000,1658.000,Viena vesela slodze,Normālais darba laiks,"",2025-11-10,"","Ezermalas iela 10B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421063688
250718-51,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1628.000,1658.000,Viena vesela slodze,Normālais darba laiks,"",2025-11-10,"","Ernesta Birznieka-Upīša iela 21A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421065424
250718-56,2025-07-18,90000099040,TULKS,Vadība / Administrēšana,1129.000,1298.000,Viena vesela slodze,Normālais darba laiks,"",2025-09-01,"","Gaujas iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421070729
250718-40,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1653.000,1745.000,Viena vesela slodze,"","",2025-11-10,"","Miera iela 3, Sigulda, Siguldas nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421063142
250718-62,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1591.000,1621.000,Viena vesela slodze,"","",2025-09-25,"","Dubultu prospekts 17, Jūrmala",https://cvvp.nva.gov.lv/#/pub/vakances/421076723
250718-60,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1653.000,1745.000,Viena vesela slodze,"","",2025-09-25,"","Brīvības iela 6, Ogre, Ogres nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421075896
250718-72,2025-07-18,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Valsts pārvalde,1628.000,1658.000,Viena vesela slodze,Normālais darba laiks,"",2025-11-10,"","Ezermalas iela 10B, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421079240
250513-77,2025-05-13,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-08-12,"","Atmodas iela 19, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/414491859
250515-54,2025-05-15,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-08-12,"","Bērzu iela 3, Aizkraukle, Aizkraukles nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414747836
250515-63,2025-05-15,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1453.000,1581.000,"","","",2025-08-12,"","Atmodas iela 19, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/414751029
250515-49,2025-05-15,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1480.000,1610.000,"","","",2025-08-12,"","Brīvības iela 122, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/414744869
250526-112,2025-05-26,90000099040,INSPEKTORS (IEKŠLIETU JOMĀ),Drošība / Glābšanas dienesti / Aizsardzība,1537.000,1730.000,"","","",2025-08-12,"","Brīvības iela 122, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/415770915
250604-133,2025-06-04,90000082152,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Normālais darba laiks,14,2025-08-31,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/416860265
250605-114,2025-06-05,90000082152,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Nepilnais darba laiks,9,2025-08-31,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417012116
250605-118,2025-06-05,90000082152,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Nepilnais darba laiks,8,2025-08-31,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417013545
250605-117,2025-06-05,90000082152,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Nepilnais darba laiks,20,2025-08-31,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417012864
250605-150,2025-06-06,90000082152,SPORTA TRENERIS,Izglītība / Zinātne,870.000,900.000,Nepilna slodze,"",20,2025-08-31,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417035594
250610-176,2025-06-10,90000082152,SKOLAS DIREKTORA VIETNIEKS /PRIEKŠNIEKA VIETNIEKS,Izglītība / Zinātne,1645.000,1700.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-31,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/417460901
250723-137,2025-07-23,90000082152,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Nepilnais darba laiks,20,2025-08-31,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421458338
250522-75,2025-05-22,90000082152,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,Normālais darba laiks,21,2025-08-25,"","Klintslejas 4, Murjāņi, Sējas pag., Saulkrastu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/415471598
250701-104,2025-07-01,90001042284,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1163.000,1163.000,Viena vesela slodze,Normālais darba laiks,40,2025-07-31,"","Pulkveža Oskara Kalpaka iela 9, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/419246287
250701-113,2025-07-02,90001042284,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1369.000,1437.000,Viena vesela slodze,Normālais darba laiks,40,2025-07-31,"","Pulkveža Oskara Kalpaka iela 9, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/419247113
250701-108,2025-07-01,90001042284,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1163.000,1222.000,Viena vesela slodze,Normālais darba laiks,40,2025-07-31,"","Stacijas iela 13, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/419246525
250701-112,2025-07-01,90001042284,PSIHOLOGS,Veselības aprūpe / Sociālā aprūpe,1187.000,1246.000,Viena vesela slodze,Normālais darba laiks,40,2025-07-31,"","Zirgu iela 47A, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/419246821
250618-136,2025-06-18,90001042284,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1163.000,1222.000,Viena vesela slodze,Normālais darba laiks,40,2025-07-31,"","Pulkveža Oskara Kalpaka iela 9, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/418259111
250715-104,2025-07-15,90001042284,APRŪPĒTĀJS,Veselības aprūpe / Sociālā aprūpe,740.000,770.000,Viena vesela slodze,Normālais darba laiks,40,2025-07-31,"","Zirgu iela 47A, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/420791613
250605-140,2025-06-05,90000281996,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1450.000,1600.000,Viena vesela slodze,"","",2025-08-31,"","Krišjāņa Valdemāra iela 1C, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/417029028
250617-84,2025-06-17,90000281996,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1450.000,1600.000,Viena vesela slodze,"","",2025-08-31,"","Krišjāņa Valdemāra iela 1C, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418093030
250617-85,2025-06-17,90000281996,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1450.000,1600.000,Viena vesela slodze,"","",2025-08-31,"","Krišjāņa Valdemāra iela 1C, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418093131
250617-83,2025-06-17,90000281996,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1450.000,1600.000,Viena vesela slodze,"","",2025-08-31,"","Krišjāņa Valdemāra iela 1C, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/418092946
250730-25,2025-07-30,90010937516,TEHNISKAIS STRĀDNIEKS,Izglītība / Zinātne,1000.000,1000.000,Viena vesela slodze,Normālais darba laiks,40,2025-08-30,"","Meža iela 15, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421991131
250701-55,2025-07-10,90000041031,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1370.000,1781.000,Viena vesela slodze,Normālais darba laiks,30,2025-08-01,"","Pulkveža Oskara Kalpaka iela 37, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/419221186
250723-102,2025-07-23,90000041031,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1370.000,1370.000,Viena vesela slodze,Normālais darba laiks,30,2025-08-15,"","Pulkveža Oskara Kalpaka iela 37, Jelgava",https://cvvp.nva.gov.lv/#/pub/vakances/421422004
250605-217,2025-06-05,90000013771,PĒTNIEKS,Izglītība / Zinātne,10.000,16.000,Viena vesela slodze,"","",2025-08-31,"","Dzirciema iela 16, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/417064269
250704-153,2025-07-04,90000013771,PĒTNIEKS,Izglītība / Zinātne,1920.000,3072.000,"","","",2025-08-04,"","Rātsupītes iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419862281
250715-54,2025-07-15,90000013771,PROJEKTA VADĪTĀJS,Izglītība / Zinātne,2200.000,2500.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-04,"","Dārza iela 5, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420752960
250717-163,2025-07-17,90000013771,Būvniecības projektu VADĪTĀJS,Izglītība / Zinātne,2500.000,2500.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-15,"","Kristapa iela 30, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421020149
250717-162,2025-07-17,90000013771,LABORATORIJAS SPECIĀLISTS,Izglītība / Zinātne,1200.000,1500.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-08,"","Anniņmuižas bulvāris 26A, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421020084
250717-164,2025-07-17,90000013771,ARHĪVISTS,Izglītība / Zinātne,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-15,"","Buļļu iela 74, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421020328
250718-135,2025-07-18,90000013771,PĒTNIEKS,Izglītība / Zinātne,1920.000,3000.000,"","","",2025-09-04,"","Dzirciema iela 20, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421108688
250409-232,2025-04-09,90000076669,PROFESORS,Izglītība / Zinātne,2500.000,2500.000,"","","",2025-08-31,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/411503477
250704-136,2025-07-04,90000076669,DOCENTS,Izglītība / Zinātne,14.600,14.600,"","","",2025-08-04,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419856124
250704-141,2025-07-04,90000076669,PĒTNIEKS,Izglītība / Zinātne,11.690,11.690,"","",1,2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419857492
250704-143,2025-07-04,90000076669,PĒTNIEKS,Izglītība / Zinātne,11.690,11.690,"","",1,2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/419857786
250708-93,2025-07-08,90000076669,DOCENTS,Izglītība / Zinātne,14.600,14.600,"","","",2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420158534
250708-96,2025-07-09,90000076669,VADOŠAIS PĒTNIEKS,Izglītība / Zinātne,18.230,18.230,"","","",2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420159282
250708-95,2025-07-08,90000076669,LEKTORS,Izglītība / Zinātne,11.690,11.690,"","","",2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420158855
250708-100,2025-07-08,90000076669,Zinātniskais ASISTENTS,Izglītība / Zinātne,9.340,9.340,"","","",2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420161474
250708-102,2025-07-08,90000076669,PĒTNIEKS,Izglītība / Zinātne,14.600,14.600,"","","",2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420161966
250708-105,2025-07-08,90000076669,PĒTNIEKS,Izglītība / Zinātne,11.690,11.690,"","",1,2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420162625
250709-102,2025-07-09,90000076669,PĒTNIEKS,Izglītība / Zinātne,11.690,11.690,"","",1,2025-08-08,"","Raiņa bulvāris 19, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420314503
250716-37,2025-07-16,90000076669,MĀJAS PĀRVALDNIEKS,Izglītība / Zinātne,2200.000,2200.000,Viena vesela slodze,"","",2025-07-31,"","Jelgavas iela 3, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/420846616
250703-111,2025-07-03,90000024205,SOCIĀLAIS DARBINIEKS DARBAM AR PERSONĀM AR FUNKCIONĀLIEM TRAUCĒJUMIEM,Veselības aprūpe / Sociālā aprūpe,1200.000,1200.000,"","","",2025-08-29,"","Jaunā iela 31, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419642616
250701-118,2025-07-02,90000024205,"INTERNĀTA, DIENESTA VIESNĪCAS SKOLOTĀJS",Izglītība / Zinātne,1566.000,1566.000,Viena vesela slodze,"","",2025-08-04,"","Mežmalas, Antūži, Variešu pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419248330
250307-175,2025-03-07,90000024205,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Viena vesela slodze,"","",2025-09-01,"","Skolas iela 3, Sala, Salas pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/407756023
250709-83,2025-07-09,90000024205,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1175.000,1410.000,Viena vesela slodze,"","",2025-09-01,"","Skolas iela 3, Sala, Salas pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420306977
250709-85,2025-07-09,90000024205,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Viena vesela slodze,"","",2025-09-01,"","Skolas iela 3, Sala, Salas pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420307235
250709-87,2025-07-09,90000024205,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Viena vesela slodze,"","",2025-09-01,"","Skolas iela 3, Sala, Salas pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420307485
250709-89,2025-07-09,90000024205,VISPĀRĒJĀS VIDĒJĀS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1410.000,1410.000,Nepilna slodze,"","",2025-09-01,"","Skolas iela 3, Sala, Salas pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420307786
250718-126,2025-07-18,90000024205,JURISTS,Valsts pārvalde,1650.000,1650.000,"","","",2025-07-31,"","Brīvības iela 120, Jēkabpils, Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421105559
250718-119,2025-07-18,90000024205,APRŪPĒTĀJS,Valsts pārvalde,740.000,740.000,"","","",2025-08-18,"","Mežmalas, Antūži, Variešu pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421100065
250307-186,2025-03-07,90000024205,VISPĀRĒJĀS PAMATIZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1175.000,1410.000,Viena vesela slodze,"","",2025-09-01,"","Skolas iela 3, Sala, Salas pag., Jēkabpils nov.",https://cvvp.nva.gov.lv/#/pub/vakances/407759492
250717-34,2025-07-17,90001156887,MUZEJA IZSTĀŽU UN EKSPOZĪCIJU ZĀĻU UZRAUGS,Kultūra / Māksla,740.000,740.000,Viena vesela slodze,Normālais darba laiks,40,2025-07-31,"","Jāņa iela 17, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/420956360
250722-128,2025-07-22,90001672316,Tiesas sēžu SEKRETĀRS,Jurisprudence / Tieslietas,1113.000,1182.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-05,"","Jēzusbaznīcas iela 6, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421314678
250725-28,2025-07-25,90001672316,Tiesas sēžu SEKRETĀRS,Jurisprudence / Tieslietas,1113.000,1182.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-25,"","Mazā Nometņu iela 39, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/421609074
250430-81,2025-04-30,90000048472,SPECIĀLAIS PEDAGOGS,Vadība / Administrēšana,1502.060,1502.060,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Gaujas iela 33A, Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/413300797
250423-172,2025-05-07,90000048472,PROFESIONĀLĀS IEVIRZES IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1303.000,1303.000,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Gaujas iela 33A, Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/412665350
250703-152,2025-07-03,90000048472,Pamatdarbības struktūrvienības VADĪTĀJS/ DIREKTORS/ KOMANDIERIS (izglītības jomā),Izglītība / Zinātne,1645.000,1645.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-01,"","Gaujas iela 33A, Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/419702449
250717-103,2025-07-17,90000048472,VADĪTĀJS /DIREKTORS /PĀRVALDNIEKS (IZGLĪTĪBAS JOMĀ),Vadība / Administrēšana,2440.000,2440.000,Viena vesela slodze,Normālais darba laiks,"",2025-08-10,"","Gaujas iela 33A, Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/420998276
250718-80,2025-07-18,90000048472,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1566.090,1566.090,Viena vesela slodze,Normālais darba laiks,"",2025-07-31,"","Pirmā iela 26A, Ādaži, Ādažu nov.",https://cvvp.nva.gov.lv/#/pub/vakances/421081909
